Git commit: b5036a4baa02cac62a29312065b546a0a3759124
Running on ygritte.cs.ru.nl
tamarin-prover 1.6.1
With options +RTS -N16 -RTS

Tue 15 Mar 2022 06:25:12 PM CET

> env TAMARIN_FLAGS="+RTS -N16 -RTS" python3 run_proofs.py generated_corekt.spthy -DINCLUDE_KEMTLS_SAUTH_OR_MUTUAL -DINCLUDE_KEMTLS_SAUTH -DINCLUDE_KEMTLS_MUTUAL
[44/62] Proving match_prop1_i5_j4                                                 at 16:06:30.947102... Completed in   94 steps in 0:00:04.163264
[45/62] Proving match_prop1_i5_j5                                                 at 16:06:35.112095... Completed in   78 steps in 0:00:04.044239
[46/62] Proving match_prop1_i6_j1                                                 at 16:06:39.158020... Completed in   56 steps in 0:00:03.362795
[47/62] Proving match_prop1_i6_j2                                                 at 16:06:42.522450... Completed in   56 steps in 0:00:03.521277
[48/62] Proving match_prop1_i6_j3                                                 at 16:06:46.045435... Completed in   96 steps in 0:00:05.895569
[49/62] Proving match_prop1_i6_j4                                                 at 16:06:51.942706... Completed in   96 steps in 0:00:06.173165
[50/62] Proving match_prop1_i6_j5                                                 at 16:06:58.117566... Completed in   80 steps in 0:00:04.543702
[51/62] Proving match_prop1_i6_j6                                                 at 16:07:02.661906... Completed in   88 steps in 0:00:04.977157
[52/62] Proving match_prop2                                                       at 16:07:07.640766... Completed in  480 steps in 0:00:09.014538
[53/62] Proving match_prop3                                                       at 16:07:16.656970... Completed in   26 steps in 0:00:01.767382
[54/62] Proving match_prop4                                                       at 16:07:18.426006... Completed in  576 steps in 0:00:20.432390
[55/62] Proving match_prop5                                                       at 16:07:38.860141... Completed in  132 steps in 0:00:02.990049
[56/62] Proving match_prop6                                                       at 16:07:41.851824... Completed in  352 steps in 0:00:08.456773
[57/62] Proving sk_security_nofs_client                                           at 16:07:50.310248... Completed in  639 steps in 0:00:15.661869
[58/62] Proving sk_security_nofs_server                                           at 16:08:05.973729... Completed in  554 steps in 0:00:11.854420
[59/62] Proving sk_security_wfs1                                                  at 16:08:17.829903... Completed in 1673 steps in 0:01:05.129130
[60/62] Proving sk_security_wfs2                                                  at 16:09:22.960711... Completed in 2774 steps in 0:01:30.123488
[61/62] Proving sk_security_fs                                                    at 16:10:53.086075... Completed in 7604 steps in 0:06:38.323676
[62/62] Proving malicious_acceptance                                              at 16:17:31.410999... Completed in 4392 steps in 0:04:12.667008


All done in 0:22:37.456868

